Scientific Name,Family ,Local Name,Disease used on ,Parts used,Preparation and Administration,Quality of Dosage ,Administration Frequency,Experienced adverse or side effects,Literature taken from,Page where the data can be found on the literature
Cratoxylum sumatranum (Jack) Blume,Clusiaceae/ Guttiferae,Bansilay,Impetigo; cuts and wounds,Leaf,Apply pounded leaves as poultice,3–5 leaves,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
"Hellenia speciosa
(J.Koenig) Govaerts",Costaceae,Tambabasi or Tawasi,"Diabetes, goiter; migraine; ear congestion; cough, lung nodule; urination difficulty, kidney problem; headache, fever","Leaf, Rhizome",Drink decoction,3–5 glasses  ,Once to thrice a day up to 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
"Hellenia speciosa
(J.Koenig) Govaerts",Costaceae,Tambabasi or Tawasi,"Diarrhea, stomachache, dysentery",Stem,Drink stem sap,1/2 cup,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 22
"Hellenia speciosa
(J.Koenig) Govaerts",Costaceae,Tambabasi or Tawasi,Sore eyes,Leaf,Apply leaf sap,Completely on affected part,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 22
"Kalanchoe pinnata
(Lam.) Pers.",Crassulaceae,Hanlilika,"Diabetes; anemia, hypertension; asthma; cough; constipation, diarrhea, stomach trouble, hemorrhoids; kidney stone; labor and delivery enhancer; fever",Leaf,Drink decoction,3–5 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 22
"Kalanchoe pinnata
(Lam.) Pers.",Crassulaceae,Hanlilika,"Herpes simplex; hemorrhoids; boils, eczema; swellings; burns, cuts and wounds, bruises and contusions, insect bites",Leaf,Apply decocted leaves as wash,1–3 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 22
"Kalanchoe pinnata
(Lam.) Pers.",Crassulaceae,Hanlilika,"Abdominal pain, body ache, headache, fever",Leaf,Apply heated leaves as hot compress,1–3 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 22
Rhynchospora colorata (L.) H.Pfeiff,Cyperaceae,Busikad,"Chicken pox, measles; cancer; cough; stomach acidity; fever, relapse, gas pain and flatulence; sprain",Whole Plant,Drink decoction,1–3 glasses  ,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 22
Rhynchospora colorata (L.) H.Pfeiff,Cyperaceae,Busikad,Baby teething,Flower,Drink water- infused flower,1/2–1 glass,Once to thrice a day,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 22
Stenomeris borneensis Oliv,Dioscoreaceae,Banag,"Myoma; migraine; arthritis, rheumatism; urination difficulty, urinary bladder swelling; postpartum care and recovery; headache, cramp and spasm, relapse
 ",Root,I Drink decoction,3–5 glasses,Once or twice a day for 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 22
Euphorbia hirta L.,Euphorbiaceae,Tawa-tawa,"Colds, dengue fever; asthma; diarrhea, vomiting; fever",Whole Plant,I Drink decoction of whole plant except flowers,5–7 glasses,Thrice a day or as needed,In excess can cause thrombocytopenia,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 23
Euphorbia hirta L.,Euphorbiaceae,Tawa-tawa,"Ringworm; sore eyes; boils, skin rashes, and itchiness; cuts and wounds",Leaf,"Apply leaf  sap or
decocted leaves",5–7 leaves,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 23
Jatropha curcas L.,Euphorbiaceae,Tuba-tuba puti,"Colds; pulmonary tuberculosis; diarrhea; arthritis, rheumatism; backache, body ache, fever, weakness and fatigue, cramp and spasm, relapse, gas pain, and flatulence","Leaf, Root",Drink decoction,1–3 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 23
Jatropha curcas L.,Euphorbiaceae,Tuba-tuba puti,"Scabies, ringworm; ear infection, discharging ear; toothache; swollen muscles and swellings; cuts and wounds, fracture and dislocation, animal and insect bites","Bark, Root",Apply decoction or pounded scraped bark as poultice,"1–3 palm- sized barks, 1/2–1 arm- sized roots",As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 23
Jatropha gossypifolia L.,Euphorbiaceae,Tuba-tuba tapol,"Colds, malaria, typhoid fever; pulmonary tuberculosis; diarrhea; arthritis, rheumatism; dysmenorrhea, irregular menstruation; backache, body ache, fever, weakness and fatigue, cramp and spasm, relapse, gas pain, and flatulence","Leaf, Root","I  Drink
decoction","1–3 leaves, 1/2–1 arm- sized roots",Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 23
Jatropha gossypifolia L.,Euphorbiaceae,Tuba-tuba tapol,"Ringworm; boils, carbuncles, dermatitis; swollen muscles and swellings, muscle pain; backache, body ache, fever; cuts and wounds",Leaf,Bath or wash decocted leaves,1–3 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 24
Jatropha gossypifolia L.,Euphorbiaceae,Tuba-tuba tapol,"Scabies, ringworm; ear infection, discharging ear; toothache, mouth sore; cuts and wounds, fracture and dislocation, animal and insect bites","Bark, Root ",Apply decoction or pounded scraped bark as poultice,"1–3 palm- sized barks, 1/2–1 arm- sized roots",As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 24
Melanolepis multiglandulosa,Euphorbiaceae,Awom,"Beriberi; emphysema, cough; diarrhea, stomach trouble",Leaf,Drink decoction,3–5 glasses  ,"Once to thrice a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 24
Melanolepis multiglandulosa,Euphorbiaceae,Awom,"Fibroma; body ache, weakness, and fatigue","Bark, Flower, Leaf","Apply fresh or heated flower, leaves, and bark; sometimes mixed with little salt","1–3 flowers, 1–3 leaves, 1–3 palm- sized barks",Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 24
Omalanthus macradenius Pax & Hoffm.,Euphorbiaceae,Banti puti,"Impetigo; diarrhea, stomach trouble; cuts and wounds
 ",Leaf,Apply pounded leaves as poultice,3–5 leaves,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 24
Omalanthus macradenius Pax & Hoffm.,Euphorbiaceae,Banti tapol,"Impetigo; diarrhea, stomach trouble; cuts and wounds",Leaf,Apply pounded leaves as poultice,3–5 leaves,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 25
Bauhinia sp.,Fabaceae,"Talimughat
pikas","Rheumatism, muscle pain; delayed menstruation; labor and delivery enhancer, postpartum care and recovery; backache, body ache, weakness and fatigue, cramp and spasm, relapse","Leaf, Stem","Drink decoction
 ",3–5 glasses  ,Once to thrice a day up to 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 25
Crotalaria incana L.,Fabaceae,Sagay-sagay,"Myoma; hormonal imbalance; cough; constipation; fever, weakness and fatigue, relapse",Root,I Drink decoction,3–5 glasses  ,Once to thrice a day up to 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 25
Gliricidia sepium (Jacq.) Kunth ex Steud,Fabaceae,Madre de Cacao,"Scabies; boils, skin eruption, skin rashes, and itchiness; cuts and wounds","Leaf, Sap",Apply leaf sap or pounded leaves as poultice,Completely on affected part,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 25
Gliricidia sepium (Jacq.) Kunth ex Steud,Fabaceae,Madre de Cacao,"Eczema, dermatitis; arthritis and rheumatism; burns, cuts and wounds, bruises and contusions","Bark, Root, Sap",Apply sap or decocted bark or root,Completely on affected part,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 25
Gliricidia sepium (Jacq.) Kunth ex Steud,Fabaceae,Madre de Cacao,"Abortifacient, postpartum care, and recovery",Leaf,Burn leaves as incense or apply heated leaves as hot compress,3–5 leaves,"Once a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 25
Gliricidia sepium (Jacq.) Kunth ex Steud,Fabaceae,Madre de Cacao,"Body ache, headache, fever; fracture and dislocation, sprain",Bark,Apply scraped bark as poultice,1–3 palm- sized barks,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 25
Mimosa pudica L.,Fabaceae,"Hibi-hibi or makahiya
 ","Diabetes; hypertension; asthma, dysentery; urination difficulty; fever",Root,Drink decoction,3–5 glasses,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
Mimosa pudica L.,Fabaceae,"Hibi-hibi or makahiya
 ",Baby teething,Root,Drink water- infused peeled roots,1/2 to 1 cup ,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
Mimosa pudica L.,Fabaceae,"Hibi-hibi or makahiya
 ","Mumps; boils; child sleeplessness, malaise, and fatigue",Shoot,Apply hot water- infused shoots,1/2 to 1 glass,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
"Ormosia macrodisca
Baker",Fabaceae,Bahay,Atherosclerosis (high cholesterol),Fruit,Eat fresh fruit directly,1–3 fruits,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
"Ormosia macrodisca
Baker",Fabaceae,Bahay,Typhoid fever; nervous breakdown; high cholesterol; kidney problem; fever,Bark,Drink decoction or local alcohol- tinctured bark,1/2 to 1 cup ,"Once or twice a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
"Ormosia macrodisca
Baker",Fabaceae,Bahay,Nervousness; skin numbness,"Bark, Root",Apply Efficascent oil-infused bark and root,Fill a 250 ml glass bottle with bark and roots,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
Phanera semibifida (Roxb.) Benth.,Fabaceae,Alibangbang puti,"Internal bleeding, hemorrhage",Leaf,Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
Phanera semibifida (Roxb.) Benth.,Fabaceae,Alibangbang tapol,"Internal bleeding, hemorrhage",Leaf,Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
Callicarpa pedunculata R.Br.,Lamiaceae,Awoy,"Ulcer, pancreatitis, fatty liver; weakness and fatigue, cramp and spasm",Leaf,Drink hot water- infused leaves,1/2 to 1 cup ,"Once or twice a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
Callicarpa pedunculata R.Br.,Lamiaceae,Awoy,Asthma,Leaf,Burn leaves as incense,1–3 leaves,"Once or twice a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 26
Callicarpa pedunculata R.Br.,Lamiaceae,Awoy,"Swollen muscles, muscle pain; backache, body ache",Leaf,Apply leaves as poultice,1–3 leaves,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 27
